,lat_min,lon_min,lat_mid,lon_mid,lat_max,lon_max
107,440453.0,4974963.0,440604.0,4975114.0,440755.0,4975265.0
108,440453.0,4975265.0,440604.0,4975416.0,440755.0,4975567.0
109,440453.0,4975567.0,440604.0,4975718.0,440755.0,4975869.0
110,440453.0,4975869.0,440604.0,4976020.0,440755.0,4976171.0
111,440453.0,4976171.0,440604.0,4976322.0,440755.0,4976473.0
112,440453.0,4976473.0,440604.0,4976624.0,440755.0,4976775.0
113,440453.0,4976775.0,440604.0,4976926.0,440755.0,4977077.0
114,440453.0,4977077.0,440604.0,4977228.0,440755.0,4977379.0
115,440453.0,4977379.0,440604.0,4977530.0,440755.0,4977681.0
116,440453.0,4977681.0,440604.0,4977832.0,440755.0,4977983.0
117,440453.0,4977983.0,440604.0,4978134.0,440755.0,4978285.0
118,440453.0,4978285.0,440604.0,4978436.0,440755.0,4978587.0
119,440453.0,4978587.0,440604.0,4978738.0,440755.0,4978889.0
120,440453.0,4978889.0,440604.0,4979040.0,440755.0,4979191.0
121,440453.0,4979191.0,440604.0,4979342.0,440755.0,4979493.0
122,440453.0,4979493.0,440604.0,4979644.0,440755.0,4979795.0
123,440453.0,4979795.0,440604.0,4979946.0,440755.0,4980097.0
124,440453.0,4980097.0,440604.0,4980248.0,440755.0,4980399.0
125,440453.0,4980399.0,440604.0,4980550.0,440755.0,4980701.0
126,440453.0,4980701.0,440604.0,4980852.0,440755.0,4981003.0
127,440453.0,4981003.0,440604.0,4981154.0,440755.0,4981305.0
128,440453.0,4981305.0,440604.0,4981456.0,440755.0,4981607.0
129,440453.0,4981607.0,440604.0,4981758.0,440755.0,4981909.0
130,440453.0,4981909.0,440604.0,4982060.0,440755.0,4982211.0
131,440453.0,4982211.0,440604.0,4982362.0,440755.0,4982513.0
132,440453.0,4982513.0,440604.0,4982664.0,440755.0,4982815.0
133,440453.0,4982815.0,440604.0,4982966.0,440755.0,4983117.0
134,440453.0,4983117.0,440604.0,4983268.0,440755.0,4983419.0
135,440453.0,4983419.0,440604.0,4983570.0,440755.0,4983721.0
136,440453.0,4983721.0,440604.0,4983872.0,440755.0,4984023.0
137,440453.0,4984023.0,440604.0,4984174.0,440755.0,4984325.0
138,440453.0,4984325.0,440604.0,4984476.0,440755.0,4984627.0
139,440453.0,4984627.0,440604.0,4984778.0,440755.0,4984929.0
140,440453.0,4984929.0,440604.0,4985080.0,440755.0,4985231.0
141,440453.0,4985231.0,440604.0,4985382.0,440755.0,4985533.0
142,440453.0,4985533.0,440604.0,4985684.0,440755.0,4985835.0
143,440453.0,4985835.0,440604.0,4985986.0,440755.0,4986137.0
144,440453.0,4986137.0,440604.0,4986288.0,440755.0,4986439.0
145,440453.0,4986439.0,440604.0,4986590.0,440755.0,4986741.0
146,440453.0,4986741.0,440604.0,4986892.0,440755.0,4987043.0
147,440453.0,4987043.0,440604.0,4987194.0,440755.0,4987345.0
148,440453.0,4987345.0,440604.0,4987496.0,440755.0,4987647.0
149,440453.0,4987647.0,440604.0,4987798.0,440755.0,4987949.0
150,440755.0,4972849.0,440906.0,4973000.0,441057.0,4973151.0
